iter	Passed	Remaining
0	128	128312
1	133	66773
2	138	46159
3	143	35803
4	150	29907
5	154	25619
6	159	22576
7	164	20371
8	168	18603
9	173	17162
10	177	15988
11	182	15040
12	187	14217
13	191	13489
14	196	12889
15	200	12334
16	204	11830
17	208	11390
18	213	11027
19	217	10671
20	222	10357
21	227	10098
22	231	9825
23	235	9562
24	239	9356
25	244	9141
26	247	8927
27	251	8736
28	256	8577
29	260	8416
30	264	8253
31	267	8104
32	272	7997
33	277	7870
34	281	7751
35	285	7656
36	289	7547
37	293	7439
38	298	7344
39	302	7260
40	306	7168
41	310	7079
42	314	7006
43	319	6937
44	323	6864
45	328	6808
46	333	6766
47	338	6715
48	344	6688
49	349	6635
50	353	6585
51	358	6527
52	363	6498
53	368	6450
54	373	6419
55	377	6361
56	380	6286
57	382	6219
58	386	6159
59	389	6100
60	391	6026
61	393	5951
62	395	5881
63	397	5808
64	399	5739
65	400	5671
66	402	5601
67	404	5540
68	405	5477
69	407	5415
70	409	5352
71	410	5292
72	411	5230
73	413	5174
74	414	5118
75	416	5068
76	419	5024
77	420	4971
78	422	4921
79	423	4873
80	425	4825
81	426	4779
82	427	4726
83	429	4682
84	431	4643
85	433	4612
86	435	4571
87	437	4529
88	438	4487
89	439	4448
90	441	4408
91	442	4369
92	443	4329
93	445	4293
94	446	4258
95	449	4229
96	450	4194
97	451	4159
98	453	4127
99	454	4094
100	456	4063
101	458	4032
102	459	4004
103	461	3972
104	463	3946
105	464	3919
106	466	3890
107	467	3860
108	468	3831
109	470	3804
110	471	3777
111	473	3750
112	474	3723
113	475	3698
114	477	3675
115	479	3652
116	480	3626
117	482	3603
118	483	3581
119	485	3557
120	486	3537
121	488	3513
122	489	3492
123	492	3476
124	494	3459
125	495	3438
126	497	3416
127	498	3397
128	500	3379
129	502	3360
130	503	3342
131	505	3324
132	508	3313
133	510	3296
134	511	3278
135	513	3261
136	515	3244
137	516	3227
138	518	3210
139	519	3192
140	520	3173
141	522	3157
142	524	3141
143	525	3124
144	527	3108
145	528	3091
146	530	3075
147	531	3059
